Team Number,Team Name,Location,2026
1855,MagnoBots,"Reseda, CA, USA",False
1856,Gear Heads,"Redford, MI, USA",False
1857,Citrus Sprouts,"Davis, California, USA",True
1858,Spartans,"Slidell, LA, USA",False
1859,RoboJacks,"Bogalusa, LA, USA",False
1860,Alphabots,"Sao Jose dos Campos, São Paulo, Brazil",True
1861,SHARC,"Aurora, CO, USA",False
1862,Red Raiders,"Cliffside Park, NJ, USA",False
1863,Titan it up!,"Tulsa, OK, USA",False
1864,Automata,"Milwaukee, WI, USA",False
1865,RoboBuffs,"Missouri City, TX, USA",False
1866,The Cardinals,"Swansea, MA, USA",False
1867,The Prowlers,"Houston, TX, USA",False
1868,Space Cookies,"Mountain View, California, USA",True
1870,The Lightning Arx,"Red Deer, AB, Canada",False
1871,Panter Machine,"CHarles City, VA, USA",False
1872,Steel Lions,"San Juan, Puerto Rico, USA",False
1873,CRT,"Columbia, MO, USA",False
1875,Purple Haze,"Cocoa, FL, USA",False
1876,Beachbotics,"Hilton Head Island, South Carolina, USA",False
1877,Mechanical Mafia,"Dahlonega, GA, USA",False
1879,Minor High School,"Adamsville, AL, USA",False
1880,Warriors of East Harlem,"New York, New York, USA",True
1881,Gamma Elite,"Paterson, NJ, USA",False
1882,Rebel Robotics,"Farmingdale, NJ, USA",False
1883,Dragons,"Las Vegas, NV, USA",False
1884,Griffins,"London, England, United Kingdom",True
1885,Comet Robotics,"Haymarket, Virginia, USA",True
1886,Hawks,"Ijamsville, MD, USA",False
1887,Russet Robotix,"Shelley, ID, USA",False
1888,West Robotics,"plano, TX, USA",False
1889,Haze,"Wellington, FL, USA",False
1890,EOT,"Nashville, TN, USA",False
1891,Bullbots,"Boise, Idaho, USA",True
1893,High Tech Parrots,"Baltimore, MD, USA",False
1894,The Elite,"Baltimore, MD, USA",False
1895,Lambda Corps,"Manassas, Virginia, USA",True
1896,Concussive Engineers,"Traverse City, Michigan, USA",False
1897,Red Hot Chile Dragons,"Albuquerque, NM, USA",False
1898,Westside Wolves,"Houston, TX, USA",False
1899,Saints Robotics,"Bellevue, Washington, USA",True
1900,Rough Riders,"Washington, DC, USA",False
1901,Ramrod,"St. Marys, ON, Canada",False
1902,Exploding Bacon,"Orlando, Florida, USA",True
1904,Warbots,"Baltimore, MD, USA",False
1905,KCbotics,"Kansas City, MO, USA",False
1906,WeBeRoyBotics,"Roy, UT, USA",False
1907,Birds of Prey,"Farmville, VA, USA",False
1908,ShoreBots,"Eastville, Virginia, USA",True
1909,G-Tech,"Boston, MA, USA",False
1910,Hawlets,"Kansas City, MO, USA",False
1911,Techno-Horns,"Fort Benton, MT, USA",False
1912,Team Combustion,"Slidell, Louisiana, USA",True
1913,Livewire,"Covington, LA, USA",False
1914,The MidKnight Inventors,"Princeton Junction, New Jersey, USA",False
1915,MTHS Firebird Robotics,"Washington, District of Columbia, USA",True
1916,MP Robotics,"Roxbury, MA, USA",False
1917,T.O.M. (Teckies Operating Machinery),"Prescott, AZ, USA",False
1918,NC GEARS,"Fremont, Michigan, USA",True
1919,Knights of the Heights,"South Boston, MA, USA",False
1920,McMain Hurricanes,"New Orleans, Louisiana, USA",False
1922,Oz-Ram,"Contoocook, New Hampshire, USA",True
1923,The MidKnight Inventors,"Plainsboro, New Jersey, USA",True
1925,Jags,"West Hills, CA, USA",False
1926,Team 8-Bit,"Mesa, AZ, USA",False
1927,Tempest,"Biloxi, Mississippi, USA",True
1929,FoxyBots,"Montclair, NJ, USA",False
1930,Comets,"Henrietta, NY, USA",False
1931,Hornets,"Little Falls, NJ, USA",False
1932,RoboRustlers,"Great Falls, MT, USA",False
1933,Doncaster Destroyers,"Doncaster, ENG, Kingdom",False
1934,AI,"London, ENG, Kingdom",False
1935,Team Happycat,"Toronto, ON, Canada",False
1937,Elysium ,"Modi'in-Maccabim Reu't, HaMerkaz, Israel",True
1938,Manhattan High School,"Manhattan, MT, USA",False
1939,THE KUHNIGHTS,"Kansas City, Missouri, USA",True
1940,Tech Tigers 1940,"Benton Harbor, Michigan, USA",True
1941,Detroit Rocks Robotics,"Detroit, MI, USA",False
1942,Cinderella Tel-Nof,"Gadera, HaMerkaz, Israel",True
1943,Neat Team,"rosh ha'ayin, HaMerkaz, Israel",True
1944,Airforce High School,"Haifa, Haifa, Israel",False
1945,Most Wanted Robotics,"Nazareth, Z, Israel",False
1946,FG,"Tamra GLIL, HaZafon (Northern), Israel",False
1947,BlacKnight Robotics,"Hadera, M, Israel",False
1948,GreenGang,"Kfar Saba, M, Israel",False
1949,shapira,"Natanya, M, Israel",False
1950,Emek Hefer,"Emek Hefer, Z, Israel",False
1951,Ort Singolovsky,"Tel Aviv, TA, Israel",False
1952,Arming High School,"tzrifin, HaMerkaz (Central), Israel",False
1954,ElectroBunny,"Be'er Sheva, HaDarom, Israel",True
1955,Beit Yerah,"Emek Hayarden, Z, Israel",False
1956,UA,"Umm Alfahem, Z, Israel",False
1957,LighTeam,"Katzrin, Z, Israel",False
1959,Bengal Bots,"Blythewood, SC, USA",False
1960,GO DARBY!,"Darby, MT, USA",False
1961,GreenvilleSeniorHigh,"Greenville, SC, USA",False
1962,Zilch,"Boston, MA, USA",False
1963,PSC Robotics,"Winchester, ENG, Kingdom",False
1965,Firebirds,"Cambridge, Massachusetts, USA",False
1966,Knights,"Missoula, MT, USA",False
1967,The Janksters,"San Jose, California, USA",True
1970,Bulldogs,"Menlo Park, California, USA",False
1972,Searing Engineering,"El Centro, California, USA",True
1973,Burning Tiger #1973,"Boston, Massachusetts, USA",False
1974,Weber Tech,"Stockton, CA, USA",False
1975,Team QUEEN,"Millton, MA, USA",False
1976,The Missing Lynx,"Eden, TX, USA",False
1977,The PowerSquids ,"Loveland, Colorado, USA",True
1978,Bulldogs,"Phoenix, AZ, USA",False
1980,The Brigade,"Aberdeen, MD, USA",False
1981,The Gearheads,"Independence, MO, USA",False
1982,Cougar Robotics,"Shawnee, Kansas, USA",True
1983,Skunk Works Robotics,"Seattle, Washington, USA",True
1984,Raider Robotics,"Overland Park, Kansas, USA",False
1985,Robohawks,"Florissant, Missouri, USA",False
1986,Team Titanium,"Lees Summit, Missouri, USA",True
1987,Broncobots,"Lees Summit, Missouri, USA",True
1988,The Sweetie Pies,"Wales, WI, USA",False
1989,Viking Robotics,"Vernon, New Jersey, USA",False
1990,Colts,"Lodi, OH, USA",False
1991,The Dragons,"Hartford, Connecticut, USA",True
1992,Raytown South Robocards,"Raytown, MO, USA",False
1994,Quixote,"Kansas City, Kansas, USA",True
1995,Fatal Error,"Bangor, ME, USA",False
1996,Wildcat Robotics,"Blue Springs, MO, USA",False
1997,STAGROBOTICS,"Roeland Park, Kansas, USA",True
1998,Robodogz,"Dearborn Heights, MI, USA",False
1999,O.U.T.E.R L.I.M.I.T.,"Fort Walton Beach, FL, USA",False
2000,TEAM ROCK,"Dorr, MI, USA",False
2001,HERMES,"Kansas City, Missouri, USA",True
2002,Tualatin Robotics,"Tualatin, Oregon, USA",False
2004,Thunderducks,"Tulsa, Oklahoma, USA",False
2005,Aerobotechs,"Kansas City, MO, USA",False
2007,Robots of the Round Table,"Duluth, GA, USA",False
2008,VTEC,"Kansas City, MO, USA",False
2009,Robo-Titans,"Roxbury, MA, USA",False
2010,The Lightning Bots,"Warren, Ohio, USA",True
2011,SMH Robotics,"Independence, MO, USA",False
2012,@ Zenith,"North Kansas City, MO, USA",False
2013,Cybergnomes,"New Lowell, Ontario, Canada",True
2014,Spartans,"St. Louis, MO, USA",False
2015,Static shock,"Holland, MI, USA",False
2016,Mighty Monkey Wrenches,"Ewing, New Jersey, USA",True
2017,Trojans,"Etobicoke, ON, Canada",False
2019,Robo Runners,"El Cajon, CA, USA",False
2021,F.A.R.,"Fredericksburg, VA, USA",False
2022,Titan Robotics,"Aurora, Illinois, USA",True
2023,PiraTech,"Melbourne, FL, USA",False
2024,Warrior Pride,"Hilo, Hawaii, USA",False
2025,Aztecs,"Barstow, CA, USA",False
2026,Senai,"Porto Alegre, RS, Brazil",False
2027,Robotic Dragons,"Old Westbury, New York, USA",True
2028,Phantom Robotics,"Hampton, Virginia, USA",True
2029,Neo-Tech Robotics,"Ramona, California, USA",False
2030,RoboTigers,"Kansas City, MO, USA",False
2031,Brainy-Actz,"Columbus, OH, USA",False
2032,Funky Monkeys,"San Diego, CA, USA",False
2033,Eagles,"Chicago, IL, USA",False
2034,IncrediBULLS,"North Las Vegas, Nevada, USA",False
2035,The Rockin' Bots,"Carmel, California, USA",True
2036,Boulder Valley Black Knights,"Boulder, Colorado, USA",True
2037,Oranje Lions,"Brunssum, LI, Netherlands",False
2038,Sky Bandits,"Griffin, GA, USA",False
2039,Rockford Robotics,"Rockford, Illinois, USA",True
2040,DERT - Dunlap Eagles Robotics Team,"Dunlap, Illinois, USA",True
2041,(RC)2,"Chicago, IL, USA",False
2042,Robo-trees,"Santa Clarita, CA, USA",False
2043,Frequency 2043,"Roxbury, MA, USA",False
2044,Big Red Robotics,"Papillion, NE, USA",False
2045,Robo-Techs,"Oklahoma City, OK, USA",False
2046,Bear Metal,"Maple Valley, Washington, USA",True
2047,Team Challenger,"Chicago, IL, USA",False
2048,The Pink Panthers,"Detroit, Michigan, USA",True
2049,Sartech,"Gravataí, RS, Brazil",False
2050,SEB,"Detroit, MI, USA",False
2051,The Beattie Bulldogs,"Allison Park, Pennsylvania, USA",False
2052,KnightKrawler,"New Brighton, Minnesota, USA",True
2053,Southern Tier Robotics,"Vestal, New York, USA",True
2054,Tech Vikes,"Hopkins, Michigan, USA",True
2055,RoboForce,"Cary, NC, USA",False
2056,OP Robotics,"Stoney Creek, Ontario, Canada",True
2057,AV CyberBulls,"Las Vegas, NV, USA",False
2059,The Hitchhikers,"Apex, North Carolina, USA",True
2060,ECHS Robotics,"Tulsa, OK, USA",False
2061,Pioneers,"N Las Vegas, NV, USA",False
2062,CORE 2062,"Waukesha, Wisconsin, USA",True
2063,Green Machine,"Turlock, CA, USA",False
2064,The Panther Project,"Southbury / Middlebury, Connecticut, USA",True
2065,The Lions,"Holly Springs, MS, USA",False
2066,PFTB of Doom,"El Centro, CA, USA",False
2067,Apple Pi,"Guilford, Connecticut, USA",True
2068,Metal Jackets,"Manassas, Virginia, USA",True
2069,Black Widow,"Las Vegas, NV, USA",False
2070,Royals,"Ridgefield, New Jersey, USA",False
2071,Autonomous Eagles,"Arimo, ID, USA",False
2072,Carver RoboTechs,"Houston, TX, USA",False
2073,EagleForce,"Elk Grove, California, USA",True
2074,Robohoundz,"Portsmouth, VA, USA",False
2075,Enigma Robotics,"Grand Rapids, Michigan, USA",True
2076,Scots,"Toronto, ON, Canada",False
2077,Laser Robotics 2077,"Wales, Wisconsin, USA",True
2078,Robotic Wolves,"Covington, Louisiana, USA",False
2079,4H ALARM Robotics,"Franklin, Massachusetts, USA",True
2080,Torbotics,"Hammond, Louisiana, USA",True
2081,Icarus,"Peoria, Illinois, USA",False
2083,Team Blitz,"Conifer, Colorado, USA",True
2084,Robots by the C,"Manchester, Massachusetts, USA",True
2085,RoboDogs,"Vacaville, California, USA",False
2087,BFG (Building Future Generations),"Canby, OR, USA",False
2089,IO,"Lajeado, RS, Brazil",False
2090,Buff 'n Blue,"Honolulu, Hawaii, USA",True
2091,Olympians,"New Orleans, LA, USA",False
2092,Beaufort Robotics,"Beaufort, SC, USA",False
2093,Bowtie Brigade,"Portland, OR, USA",False
2095,Direct Current,"Newtown Square, Pennsylvania, USA",True
2096,RoboActive,"Dimona, HaDarom, Israel",True
2097,Phoenix Force Robotics,"Tukwila, Washington, USA",False
2098,Bulldogs,"Atlanta, GA, USA",False
2099,Blue on Blue,"Jamaica Plain, MA, USA",False
2100,M Squared,"Port St. Lucie, FL, USA",False
2102,Team Paradox,"Encinitas, California, USA",True
2103,Fisherman,"Gloucester, MA, USA",False
2104,The Colonels,"Worcester, MA, USA",False
2105,University Park,"Worcester, MA, USA",False
2106,The Junkyard Dogs,"Goochland, Virginia, USA",True
2107,Angry Bots,"Norfolk, Virginia, USA",False
2108,Team Awkward Turtle,"Cary, NC, USA",False
2109,Knight Vision,"Kansas City, MO, USA",False
2110,CHS,"Charlestown, MA, USA",False
2111,Eagles,"Gilbert, AZ, USA",False
2112,PHP Robo Warriors,"Pembroke Twnshp, IL, USA",False
2115,Nightmares,"Mundelein, Illinois, USA",False
2116,Rock County Robotics,"Stoughton, WI, USA",False
2117,The West Georgia Wolvotics,"Carrollton, GA, USA",False
2119,SCAR (Sequoyah Computer Animation and Robotics),"Canton, GA, USA",False
2120,doncaster,"doncaster, ENG, Kingdom",False
2121,Mecha Clerks,"Washington, DC, USA",False
2122,Team Tators,"Boise, Idaho, USA",True
2124,X-Factor,"Hyde Park, MA, USA",False
2125,Urban Science,"West Roxbury, MA, USA",False
2126,BCLA,"Brighton, MA, USA",False
2127,JQUS,"Boston, MA, USA",False
2128,SciTech,"Laveen, AZ, USA",False
2129,Ultraviolet,"Minneapolis, Minnesota, USA",True
2130,Alpha+,"Bonners Ferry, Idaho, USA",True
2132,Mustangs,"Baltimore, MD, USA",False
2133,H.E.A.T.,"Hohenwald, TN, USA",False
2134,Aztecs,"Tempe, AZ, USA",False
2135,Presentation Invasion,"San Jose, California, USA",True
2136,Impossible Mission Force,"Chicago, Illinois, USA",False
2137,The Oxford RoboCats,"Oxford, Michigan, USA",True
2139,Road Runners,"Las Vegas, NV, USA",False
2140,Team Synergy,"Pemberton, NJ, USA",False
2141,Spartronics,"Concord, California, USA",True
2142,Lakeview,"Laleview, OR, USA",False
2143,Team Tobor,"Eau Claire, Wisconsin, USA",True
2144,Gators,"Atherton, California, USA",False
2145,HAZMATS,"Linden, Michigan, USA",True
2147,CHUCK,"Spokane, Washington, USA",True
2148,Mechaknights,"Spokane, Washington, USA",False
2149,CV Bearbots,"Veradale, Washington, USA",False
2150,W-Squared,"Palos Verdes Peninsula, CA, USA",False
2151,PMSA Monty Pythons,"Forest Park, Illinois, USA",True
2152,S*M*A*S*H,"Port Orange, Florida, USA",True
2153,Chassell Robotics,"Chassell, MI, USA",False
2154,AzTechs,"Calexico, CA, USA",False
2156,Wire Freaks,"Sacramento, CA, USA",False
2157,Apollo,"Houston, TX, USA",False
2158,the ausTIN CANs,"Austin, Texas, USA",True
2159,RoboPirates,"San Leandro, CA, USA",False
2161,Robocats ,"Huntington Station, New York, USA",True
2162,MacAttacks,"Boston, MA, USA",False
2163,ChromePanthers,"Lapeer, MI, USA",False
2164,The Core,"Harrisonville, Missouri, USA",False
2165,BisonBots,"Bartlesville, Oklahoma, USA",True
2166,Bluebotics,"Oakville, ON, Canada",False
2167,Radical Tech,"Maryville, Missouri, USA",False
2168,Aluminum Falcons,"Groton, Connecticut, USA",True
2169,KING TeC,"Savage, Minnesota, USA",True
2170,Galvanized Guardians,"Glastonbury, Connecticut, USA",True
2171,RoboDogs,"Crown Point, Indiana, USA",True
2172,Steel Unit-E,"Lakewood, Ohio, USA",True
2173,Robo Rocks,"Bay St. Louis, MS, USA",False
2174,Iron Eagles,"Watts, CA, USA",False
2175,The Fighting Calculators,"Woodbury, Minnesota, USA",True
2176,MAD SCIENTIST ASSOCIATION,"Starkville, MS, USA",False
2177,The Robettes,"Mendota Heights, Minnesota, USA",True
2178,RioBotics,"Oxnard, CA, USA",False
2180,Zero Gravity,"Hamilton, New Jersey, USA",True
2181,GEARS,"Blaine, Minnesota, USA",True
2182,Tyborgs,"Slidell, LA, USA",False
2183,Tigerbots,"Boutte, Louisiana, USA",True
2184,Team Injun Ingenuity,"Whiteriver, AZ, USA",False
2185,RAMAZOIDZ,"Toronto, Ontario, Canada",False
2186,Dogs of Steel,"Chantilly, Virginia, USA",True
2187,Team Volt,"Conway, South Carolina, USA",False
2188,Critical Mass,"Belding, MI, USA",False
2189,woodland Robotics,"Woodland, CA, USA",False
2190,Team Hero,"Petal, Mississippi, USA",False
2191,Flux Core,"Hamilton, New Jersey, USA",True
2192,YAK Attack,"Newport, OR, USA",False
2193,EPIC Robotics,"Chula Vista, CA, USA",False
2194,Fondy Fire,"Fond du Lac, Wisconsin, USA",True
2196,Béésh Bá'áh Alchini,"Shiprock, NM, USA",False
2197,Las Pumas,"New Carlisle, Indiana, USA",True
2198,Paradigm Shift Robotics,"Toronto, Ontario, Canada",False
2199,Robo-Lions,"Finksburg, Maryland, USA",True
2200,BCR Blackout,"Burlington, Ontario, Canada",True
2201,TGM,"Grandview, MO, USA",False
2202,BEAST Robotics,"Brookfield, Wisconsin, USA",True
2203,Cyber-Eagles,"Bronx, NY, USA",False
2204,Rambots,"Hayward, California, USA",True
2205,Juggernauts,"Mount Vernon, NY, USA",False
2206,Ehret Patriots,"Marrero, LA, USA",False
2207,Bright Bears,"White Bear Lake, Minnesota, USA",True
2208,Makif Dalet,"Ashdod, D, Israel",False
2209,Rabin HS,"Beer Sheva, D, Israel",False
2210,Yarka High School,"Yarka, Z, Israel",False
2211,Ort IAI,"Lod, M, Israel",False
2212,The Spikes,"Lod, HaMerkaz, Israel",True
2213,AXIOM,"Nahariya, HaZafon (Northern), Israel",False
2214,ASSIT,"Yemin Orde, HA, Israel",False
2215,Akkoleon,"Akko, Z, Israel",False
2216,robodim,"Dimona, HaDarom (Southern), Israel",False
2217,Kiryat Motzkin,"Kiryat Motzkin, Z, Israel",False
2219,Megahurts,"Carbondale, IL, USA",False
2220,Blue Twilight ,"Eagan, Minnesota, USA",True
2221,FHS Robodawgs,"Mandeville, Louisiana, USA",True
2222,Abes,"Tacoma, WA, USA",False
2223,B-ROC,"Philadelphia, PA, USA",False
2224,RoboPhoenix,"Detroit, Michigan, USA",True
2225,Rebel Robotics,"Champlin, Minnesota, USA",True
2226,Bronco's,"Blanding, UT, USA",False
2227,Tigers,"Fridley, Minnesota, USA",True
2228,CougarTech,"Honeoye Falls, New York, USA",True
2229,ROBOSHOP,"Plymouth Meeting, PA, USA",False
2230,General Angels,"Herzliya, HaMerkaz, Israel",True
2231,OnyxTronix,"Shoham, HaMerkaz, Israel",True
2232,Deus ex Machina,"Anoka, Minnesota, USA",False
2234,Alternating Current,"Newtown Square, Pennsylvania, USA",True
2235,Abraxas Metal Heads,"Poway, CA, USA",False
2236,Genese Team,"Sao Paulo, SP, Brazil",False
2237,The Junkyard Robo's,"Beckley, WV, USA",False
2239,Technocrats,"Hopkins, Minnesota, USA",True
2240,Brute Force,"Denver, Colorado, USA",True
2241,SWAT team,"Coon Rapids, MN, USA",False
2242,Cyber Claw,"New Orleans, Louisiana, USA",False
2243,BRATECC,"Campinas, SP, Brazil",False
2244,The Chips,"Osasco, SP, Brazil",False
2245,PANTHERS,"Frankfort, MI, USA",False
2246,The Army of Sum,"Johannesburg, Michigan, USA",False
2247,FB HT,"Gravataí, RS, Brazil",False
2249,KISS,"Billings, MT, USA",False
2250,Lancerbotics,"Denver, CO, USA",False
2251,Hawks,"Bozeman, MT, USA",False
2252,The Mavericks,"Milan, Ohio, USA",True
2254,Twisted Transistors,"Mississauga, ON, Canada",False
2257,Afula High School,"Afula, Z, Israel",False
2259,1/4 Twenties,"Denver, Colorado, USA",True
2260,Transformers,"Edwards, CO, USA",False
2261,Casa Robotics,"Longmont, Colorado, USA",True
2262,Robo-Panthers,"Holliston, Massachusetts, USA",True
2264,Trojan Robotics,"Minneapolis, Minnesota, USA",True
2265,Fe Maidens,"Bronx, New York, USA",True
2266,Colegio Sacramentinas,"Salvador, BA, Brazil",False
2269,Dragons,"Lindale, GA, USA",False
2272,Metalheads,"Thousand Oaks, CA, USA",False
2273,The Mechanix Coalition,"Surrey, BC, Canada",False
2274,Fuego,"Bronx, NY, USA",False
2275,Bello Bots,"Denver, CO, USA",False
2276,STARS of Cypress,"Cypress, TX, USA",False
2278,AVENGING PLUTO,"Orlando, FL, USA",False
2279,The Butlers,"Butler, PA, USA",False
2280,YWCA DELTA F.O.R.C.E.,"Pittsburgh, PA, USA",False
2283,Panteras,"Mexico City, Distrito Federal, Mexico",True
2285,Irvington Blue Knights 4-H,"Irvington, NJ, USA",False
2287,RoboTech Pirates,"Sinton, TX, USA",False
2288,Hydra Robotics,"Vacaville, California, USA",True
2290,FLYT,"Rockford, Illinois, USA",True
2330,F-Tech,"Fletcher, OK, USA",False
2332,Team Lucky,"Fairview, OK, USA",False
2333,Sapulpa Robotics Team ,"Sapulpa, Oklahoma, USA",True
2334,Blue Valley CAPS Robotics,"Stilwell, KS, USA",False
2335,Sargon,"Prairie Village, Kansas, USA",False
2336,Titan Crusaders,"Midlothian, VA, USA",False
2337,EngiNERDs,"Grand Blanc, Michigan, USA",True
2338,Gear It Forward,"Oswego, Illinois, USA",True
2339,Robolopes,"Lancaster, California, USA",False
2340,Xcentrics -Mercy Robotics,"Rochester, New York, USA",True
2341,Sprockets,"Shawnee, Oklahoma, USA",True
2342,Team Phoenix,"Nashua, New Hampshire, USA",True
2343,Technohorns,"Inola, OK, USA",False
2344,The Saunders Droid Factory ,"Yonkers, New York, USA",True
2345,Kearnage,"Kearney, Missouri, USA",True
2346,Cel-Techs,"Kansas City, Missouri, USA",False
2347,Trial and Error,"Copiague, New York, USA",True
2348,Mechahunes,"Honolulu, Hawaii, USA",True
2349,Hurriquake,"Wayland, MA, USA",False
2350,Region 1 Robotics,"Columbus, OH, USA",False
2352,Metal Mayhem,"Ada, Oklahoma, USA",True
2353,The Legion,"Kansas City, Missouri, USA",False
2354,Red River Robotics,"Duncan, Oklahoma, USA",False
2357,System Meltdown,"Peculiar, Missouri, USA",True
2358,Bearbotics,"Lake Zurich, Illinois, USA",True
2359,RoboLobos,"Edmond, Oklahoma, USA",True
2360,Tech Titan's POWER-Storm,"Indianapolis, Indiana, USA",False
2361,PACE Invaders,"Richmond Hill, ON, Canada",False
2362,Olympic Robotics,"Charlotte, NC, USA",False
2363,Triple Helix Robotics,"Newport News, Virginia, USA",True
2364,Oregon RoboHawks,"Oregon, IL, USA",False
2365,Lions,"Phoenix, AZ, USA",False
2366,Tesla Robotics,"Independence, MO, USA",False
2367,Lancer Robotics,"Mountain View, California, USA",True
2368,South Robotics,"Terre Haute, IN, USA",False
2369,Maximus Roboticus,"Stillwater, OK, USA",False
2370,IBOTS,"Rutland, Vermont, USA",True
2371,Eagle Pride,"Morris, OK, USA",False
2372,Robo-Hooters,"Elgin, OK, USA",False
2373,The Crickets,"Fort Cobb, Oklahoma, USA",True
2374,Jesuit Robotics ,"Portland, Oregon, USA",True
2375,Dragon Robotics,"Phoenix, Arizona, USA",True
2376,RoboCOMETS,"Tulsa, OK, USA",False
2377,C Company,"Pasadena, Maryland, USA",True
2378,Team Mako 2378,"Taloga, OK, USA",False
2380,Jag Robotics,"Mesa, AZ, USA",False
2381,The Ark,"Chicago, IL, USA",False
2382,Colbert Roboleopards,"Colbert, Oklahoma, USA",False
2383,Ninjineers,"Fort Lauderdale, Florida, USA",True
2385,Obelisk Trio,"Tulsa, OK, USA",False
2386,Trojans,"Burlington, Ontario, Canada",True
2387,Alternative Robotics,"Columbus, OH, USA",False
2388,Pirate Robotics,"Sperry, Oklahoma, USA",False
2389,Oklahoma STORM,"Drumright, OK, USA",False
2390,Wildcats,"San Ramon, CA, USA",False
2391,Tiger Drive,"Broken Arrow, OK, USA",False
2392,Pagwire,"Columbus, OH, USA",False
2393,Robotichauns,"Knoxville, Tennessee, USA",True
2394,Eagles,"Watonga, OK, USA",False
2395,OKC 4-H Robotics - Ninja Munkees,"Oklahoma City, Oklahoma, USA",False
2396,SeeHawks,"Yukon, OK, USA",False
2397,Cyborgs,"Phoenix, AZ, USA",False
2398,Tech Walkers 2398,"Tahlequah, Oklahoma, USA",False
2399,The Fighting Unicorns,"Shaker Heights, Ohio, USA",True
2400,Wyoming!?,"Sheridan, WY, USA",False
2401,PATRIOTS,"MAYVILLE, ND, USA",False
2402,RoboJackets,"Fredericksburg, Virginia, USA",False
2403,Plasma Robotics,"Mesa, Arizona, USA",True
2404,Team NEY Techs (TNT),"Pasadena, California, USA",True
2405,Techno Trojans,"Fruitport, Michigan, USA",True
2406,CowDogs,"Camp Verde, AZ, USA",False
2407,Roaring Bears,"Leetonia, OH, USA",False
2408,Shrapnel Sergeants,"Hazelwood, Missouri, USA",True
2409,Da Bears,"New Bedford, MA, USA",False
2410,Blue Valley CAPS Metal Mustangs,"Overland Park, Kansas, USA",True
2411,Rebel Alliance,"Portland, Oregon, USA",False
2412,Robototes,"Bellevue, Washington, USA",True
2413,Panthers,"Phoenix, AZ, USA",False
2414,Spartans,"Phoenix, AZ, USA",False
2415,WiredCats,"Atlanta, Georgia, USA",True
2417,RoboCougars,"Crewe, VA, USA",False
2418,tomahawks,"Minot, ND, USA",False
2419,Team MonRobot,"Brea, CA, USA",False
2420,RoboTitans,"Atlanta, GA, USA",False
2421,RTR Team Robotics,"Burke, Virginia, USA",True
2422,Bucket O' Bolts,"Davenport, FL, USA",False
2423,The KwarQs,"Watertown, Massachusetts, USA",True
2424,Robot Mafia,"Bixby, Oklahoma, USA",False
2425,Hydra,"Tampa, Florida, USA",False
2427,Techno Beavers,"Westmount, QC, Canada",False
2428,Panthers,"Sewickley, PA, USA",False
2429,The Blockheads,"La Canada Flintridge, California, USA",True
2430,CyberStorm,"Greenwood, SC, USA",False
2431,TechnoColts,"Detroit, MI, USA",False
2432,RoboSpartans,"Chicago, IL, USA",False
2433,Tech Tigers,"Chicago, IL, USA",False
2434,Blue Devils Gear Heads,"Hopewell, VA, USA",False
2435,Soldiers of Technology,"Lawton, OK, USA",False
2436,Bearacudas,"Noble, OK, USA",False
2437,Lancer Robotics,"Honolulu, Hawaii, USA",False
2438,'Iobotics,"Honolulu, Hawaii, USA",True
2439,Bearbotics,"Wailuku, Hawaii, USA",False
2440,Saints,"Honolulu, HI, USA",False
2441,Spartechs,"Honolulu, Hawaii, USA",True
2443,Blue Thunder,"Kahului, Hawaii, USA",True
2444,Kamehameha RoboWarriors,"Honolulu, Hawaii, USA",False
2445,RoboKAP,"Kapolei, Hawaii, USA",True
2446,Pleasanton Slingshots,"Pleasanton, CA, USA",False
2447,Vikes,"Hanover, MA, USA",False
2448,SLT,"London, ENG, Kingdom",False
2449,Out of Orbit Robotics,"Tempe, Arizona, USA",False
2450,Wind Chill,"Saint Paul, Minnesota, USA",True
2451,PWNAGE,"Saint Charles, Illinois, USA",False
2453,Soaring Eagles,"Honolulu, HI, USA",False
2454,Rambotx,"Honolulu, HI, USA",False
2455,HRC 2455,"Honoka'a, HI, USA",False
2456,Team Recycle It!,"San Rafael, CA, USA",False
2457,The Law,"Lawson, Missouri, USA",True
2458,Team Chaos,"Gladstone, New Jersey, USA",True
2459,Golden Hawks,"Waianae, Hawaii, USA",False
2460,Na Paniolo,"Kapaau, HI, USA",False
2461,METAL-SKINS,"Oklahoma City, Oklahoma, USA",False
2462,Digi Bots,"CHICAGO, IL, USA",False
2463,The Siege,"Lexington, NC, USA",False
2464,Trojans,"Pahrump, NV, USA",False
2465,KauaiBots,"Lihue, Hawaii, USA",True
2466,Menehune Robots,"Waimea, HI, USA",False
2467,Sabertron,"Ewa Beach, HI, USA",False
2468,Team Appreciate,"Austin, Texas, USA",True
2469,Idabots,"Idabel, OK, USA",False
2470,Team BJORG,"Bloomington, Minnesota, USA",True
2471,Team Mean Machine,"Camas, Washington, USA",True
2472,Centurions,"Circle Pines, Minnesota, USA",True
2473,Goldstrikers,"Cupertino, California, USA",True
2474,Excel,"Niles, Michigan, USA",False
2475,Caution!,"Kamuela, HI, USA",False
2476,The Limited,"Floral Park, NY, USA",False
2477,Marauder Rascals,"Waipahu, Hawaii, USA",True
2478,Westwood Robotics,"Mesa, Arizona, USA",True
2479,Phoenix,"Minneapolis, Minnesota, USA",False
2480,Iron Paws,"Minneapolis, Minnesota, USA",True
2481,Roboteers,"Tremont, Illinois, USA",True
